phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,8,140,20,79,980,100,790,25,1,0.5443037974683544,2.276026964187622,6.131014823913574,-0.0032949113162705768,0.10248384630540386,0.12597109202403547,0.09600663795513625
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,9,140,20,79,980,100,790,26,6,0.4291139240506329,2.300548791885376,6.489401340484619,0.016695303529216443,-0.18218234786036192,-0.17661669263236002,-0.13336096801864214
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,0,140,20,79,1120,100,790,25,1,0.46962025316455697,2.2462539672851562,5.987204074859619,-0.006034657880699346,-0.03239808504440589,-0.033881379587650404,-0.027832062790500968
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,1,140,20,79,1120,100,790,28,8,0.5962025316455696,2.279569149017334,6.2981109619140625,0.03190699447039791,0.2086451745178124,0.19448413824846186,0.14330002383950313
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,2,140,20,79,1120,100,790,25,2,0.520253164556962,2.3011813163757324,6.543395042419434,-0.06608181084282183,0.028060171971446835,0.016106510917791795,0.013308920398687411
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,3,140,20,79,1120,100,790,25,1,0.5468354430379747,2.37969708442688,6.602456569671631,-0.0776736757233123,0.13737885805312544,0.10036112963525808,0.07173763400364917
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,4,140,20,79,1120,100,790,28,8,0.549367088607595,2.2923619747161865,6.727634906768799,0.03668221024168139,0.19249506840424147,0.1459256612904356,0.09985383670628746
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,5,140,20,79,1120,100,790,25,3,0.47341772151898737,2.283358335494995,6.494804859161377,-0.1717083621335389,-0.08911148634797428,-0.05634074893905182,-0.03955656098855158
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,6,140,20,79,1120,100,790,32,12,0.4253164556962025,2.5458576679229736,8.187399864196777,-0.39427989665925467,-0.10325543031649431,-0.16088429508994387,-0.12334450407445514
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,8,7,140,20,79,1120,100,790,25,1,0.48227848101265824,2.170008659362793,6.198084354400635,-0.1124538072418404,-0.040260907815536484,-0.045210820997341646,-0.031968874446895036
